0000,1.84,64.67
0001,1.64,54.65
0002,1.74,59.64
0003,1.71,57.93
0004,1.63,54.03
0005,1.70,57.56
0006,1.71,57.96
0007,1.85,64.78
0008,1.86,65.54
0009,1.90,67.44
0010,1.57,50.87
0011,1.82,63.26
0012,1.89,67.08
0013,1.88,66.50
0014,1.68,56.72
0015,1.58,51.43
0016,1.76,60.36
0017,1.93,69.02
0018,1.80,62.68
0019,1.90,67.71
0020,1.79,62.07
0021,1.89,67.00
0022,1.54,49.51
0023,1.74,59.70
0024,1.81,62.77
0025,1.89,67.02
0026,1.83,63.82
0027,1.71,58.17
0028,1.76,60.53
0029,1.87,66.11
0030,1.54,49.64
0031,1.68,56.72
0032,1.83,64.17
0033,1.74,59.58
0034,1.65,54.90
0035,1.70,57.75
0036,1.84,64.50
0037,1.77,60.99
0038,1.88,66.25
0039,1.68,56.46
0040,1.80,62.32
0041,1.57,51.19
0042,1.76,60.39
0043,1.70,57.38
0044,1.73,58.85
0045,1.71,57.80
0046,1.69,57.06
0047,1.72,58.37
0048,1.83,64.23
0049,1.77,60.85
0050,1.81,63.04
0051,1.81,63.24
0052,1.70,57.75
0053,1.71,58.16
0054,1.92,68.42
0055,1.78,61.59
0056,1.65,54.78
0057,1.68,56.64
0058,1.76,60.46
0059,1.77,60.79
0060,1.67,55.96
0061,1.78,61.25
0062,1.59,51.84
0063,1.69,56.83
0064,1.73,59.24
0065,1.52,48.30
0066,1.82,63.35
0067,1.65,54.77
0068,1.71,57.94
0069,1.72,58.45
0070,1.78,61.49
0071,1.70,57.47
0072,1.80,62.69
0073,1.67,55.79
0074,1.71,57.90
0075,1.59,51.84
0076,1.68,56.38
0077,1.66,55.73
0078,1.86,65.26
0079,1.83,64.06
0080,1.63,53.80
0081,1.64,54.44
0082,1.77,61.21
0083,1.79,62.05
0084,1.86,65.50
0085,2.05,74.77
0086,1.68,56.73
0087,1.71,58.07
0088,1.75,59.86
0089,1.73,58.84
0090,1.63,53.92
0091,1.78,61.48
0092,1.73,59.22
0093,1.80,62.50
0094,1.75,59.76
0095,1.71,58.08
0096,1.84,64.69
0097,1.84,64.48
0098,1.79,62.11
0099,1.89,66.96
0100,1.78,61.63
0101,1.92,68.49
0102,1.81,63.13
0103,1.74,59.52
0104,1.69,57.05
0105,1.62,53.74
0106,1.66,55.62
0107,1.88,66.61
0108,1.69,57.17
0109,1.79,61.97
0110,1.78,61.74
0111,1.87,66.04
0112,1.71,58.21
0113,1.71,58.24
0114,1.75,60.05
0115,1.79,62.00
0116,1.79,61.97
0117,1.66,55.74
0118,1.70,57.47
0119,1.85,64.97
0120,1.83,63.80
0121,1.79,62.01
0122,1.80,62.51
0123,1.56,50.65
0124,1.76,60.39
0125,1.72,58.69
0126,1.80,62.73
0127,1.83,63.78
0128,1.81,63.02
0129,1.81,63.01
0130,1.67,56.17
0131,1.73,58.90
0132,1.77,60.95
0133,1.72,58.55
0134,1.77,60.96
0135,1.79,62.02
0136,1.76,60.38
0137,1.73,59.16
0138,1.73,59.21
0139,1.83,63.78
0140,1.62,53.66
0141,1.69,56.82
0142,1.70,57.53
0143,1.74,59.29
0144,1.49,47.17
0145,1.77,61.12
0146,1.69,57.01
0147,1.73,58.79
0148,1.93,68.86
0149,1.74,59.30
0150,1.73,58.77
0151,2.00,72.73
0152,1.76,60.46
0153,1.81,63.03
0154,1.73,58.99
0155,1.68,56.38
0156,1.79,61.92
0157,1.80,62.36
0158,1.55,49.92
0159,1.79,62.13
0160,1.64,54.55
0161,1.80,62.32
0162,1.82,63.68
0163,1.86,65.48
0164,1.81,63.04
0165,1.75,60.03
0166,1.87,65.85
0167,1.86,65.45
0168,1.79,62.16
0169,1.83,63.88
0170,1.61,52.91
0171,1.82,63.71
0172,1.87,66.20
0173,1.61,52.92
0174,1.60,52.59
0175,1.55,49.81
0176,1.62,53.44
0177,1.69,56.75
0178,1.56,50.43
0179,1.75,59.95
0180,1.90,67.66
0181,1.76,60.47
0182,1.66,55.61
0183,1.69,56.78
0184,1.84,64.35
0185,1.78,61.41
0186,1.75,59.77
0187,1.76,60.38
0188,1.94,69.53
0189,1.80,62.31
0190,1.82,63.38
0191,1.61,52.81
0192,1.78,61.27
0193,1.67,55.75
0194,1.78,61.56
0195,1.48,46.62
0196,1.72,58.37
0197,1.67,56.21
0198,1.67,56.16
0199,1.71,58.23
0200,1.89,67.10
0201,1.69,56.78
0202,1.78,61.65
0203,1.76,60.44
0204,1.90,67.31
0205,1.75,59.97
0206,1.57,51.12
0207,1.67,55.91
0208,1.86,65.42
0209,1.82,63.65
0210,1.84,64.33
0211,1.74,59.49
0212,1.66,55.32
